book_id	language	TF_language_val
283	en-us	1.0
282	eng	1.0
43	eng	1.0
8	eng	1.0
289	eng	1.0
561	en-us	1.0
89	en-us	1.0
371	eng	1.0
633	en-ca	1.0
1179	eng	1.0
492	en-us	1.0
760	eng	1.0
838	eng	1.0
1213	eng	1.0
474	eng	1.0
1368	en-gb	1.0
429	eng	1.0
894	eng	1.0
1342	eng	1.0
1337	eng	1.0
1343	en-us	1.0
755	eng	1.0
1089	eng	1.0
168	en-us	1.0
72	eng	1.0
176	en-us	1.0
243	en-gb	1.0
305	eng	1.0
349	en-gb	1.0
691	eng	1.0
1261	eng	1.0
1248	en-us	1.0
915	spa	1.0
609	en-us	1.0
191	en-us	1.0
196	eng	1.0
951	en-us	1.0
1389	eng	1.0
854	eng	1.0
1236	eng	1.0
743	en-us	1.0
1153	en-us	1.0
130	eng	1.0
401	en-us	1.0
395	eng	1.0
1202	eng	1.0
637	en-us	1.0
1074	en-gb	1.0
350	eng	1.0
170	en-gb	1.0
145	eng	1.0
276	eng	1.0
789	eng	1.0
503	eng	1.0
1019	en-us	1.0
897	eng	1.0
95	eng	1.0
126	eng	1.0
1105	eng	1.0
1262	eng	1.0
929	eng	1.0
28	eng	1.0
666	eng	1.0
322	eng	1.0
167	eng	1.0
1367	eng	1.0
1010	en-us	1.0
499	eng	1.0
670	en-us	1.0
556	spa	1.0
1139	eng	1.0
1042	en-us	1.0
337	eng	1.0
129	eng	1.0
696	eng	1.0
365	eng	1.0
32	eng	1.0
301	eng	1.0
173	eng	1.0
205	eng	1.0
390	eng	1.0
410	en-us	1.0
142	eng	1.0
103	eng	1.0
33	eng	1.0
14	eng	1.0
58	eng	1.0
65	eng	1.0
22	eng	1.0
60	eng	1.0
115	en-us	1.0
57	en-us	1.0
9	en-ca	1.0
38	eng	1.0
29	eng	1.0
100	eng	1.0
67	eng	1.0
35	eng	1.0
40	eng	1.0
119	eng	1.0
122	eng	1.0
121	eng	1.0
94	eng	1.0
495	eng	1.0
42	en-us	1.0
287	eng	1.0
669	en-us	1.0
736	eng	1.0
642	eng	1.0
212	eng	1.0
10	eng	1.0
230	eng	1.0
171	eng	1.0
76	eng	1.0
426	eng	1.0
1142	eng	1.0
26	eng	1.0
11	eng	1.0
50	eng	1.0
101	eng	1.0
7	en-us	1.0
55	eng	1.0
344	en-us	1.0
19	eng	1.0
378	en-us	1.0
405	eng	1.0
225	eng	1.0
326	eng	1.0
238	en-us	1.0
1102	eng	1.0
64	eng	1.0
328	eng	1.0
306	en-us	1.0
325	eng	1.0
476	eng	1.0
704	eng	1.0
133	eng	1.0
1210	en-us	1.0
1112	eng	1.0
70	eng	1.0
693	eng	1.0
278	eng	1.0
1167	eng	1.0
48	spa	1.0
113	en-us	1.0
398	eng	1.0
209	eng	1.0
4	eng	1.0
919	eng	1.0
828	eng	1.0
84	spa	1.0
184	eng	1.0
37	eng	1.0
1299	eng	1.0
373	eng	1.0
599	eng	1.0
751	eng	1.0
1014	eng	1.0
54	en-us	1.0
1332	en-us	1.0
766	eng	1.0
104	eng	1.0
62	eng	1.0
271	en-us	1.0
297	eng	1.0
682	eng	1.0
79	eng	1.0
1222	en-us	1.0
77	eng	1.0
264	en-us	1.0
335	eng	1.0
158	eng	1.0
529	eng	1.0
646	eng	1.0
138	eng	1.0
374	en-us	1.0
316	eng	1.0
368	eng	1.0
480	eng	1.0
1294	eng	1.0
481	eng	1.0
1071	en-us	1.0
510	en-us	1.0
1249	eng	1.0
1278	en-us	1.0
330	eng	1.0
528	eng	1.0
1119	eng	1.0
949	en-us	1.0
722	en-us	1.0
795	en-us	1.0
887	eng	1.0
179	eng	1.0
63	eng	1.0
431	eng	1.0
109	eng	1.0
131	eng	1.0
792	eng	1.0
1283	en-us	1.0
239	en-us	1.0
234	eng	1.0
1324	en-us	1.0
52	en-us	1.0
49	eng	1.0
3	en-us	1.0
591	eng	1.0
74	eng	1.0
275	eng	1.0
117	en-us	1.0
386	en-ca	1.0
68	eng	1.0
425	eng	1.0
1196	eng	1.0
621	eng	1.0
369	eng	1.0
120	eng	1.0
53	en-us	1.0
219	eng	1.0
586	eng	1.0
245	eng	1.0
354	eng	1.0
155	en-us	1.0
161	en-us	1.0
39	eng	1.0
135	eng	1.0
620	eng	1.0
110	eng	1.0
345	en-us	1.0
165	en-us	1.0
223	eng	1.0
15	eng	1.0
87	eng	1.0
688	eng	1.0
114	eng	1.0
154	eng	1.0
71	eng	1.0
150	en-us	1.0
66	eng	1.0
531	en-us	1.0
984	eng	1.0
341	eng	1.0
200	eng	1.0
501	eng	1.0
857	eng	1.0
671	eng	1.0
85	eng	1.0
102	eng	1.0
157	en-us	1.0
59	eng	1.0
251	eng	1.0
93	eng	1.0
296	eng	1.0
793	eng	1.0
540	eng	1.0
544	eng	1.0
490	eng	1.0
90	en-us	1.0
856	eng	1.0
137	eng	1.0
554	eng	1.0
1315	eng	1.0
186	eng	1.0
772	eng	1.0
819	eng	1.0
898	eng	1.0
356	eng	1.0
999	eng	1.0
905	eng	1.0
346	eng	1.0
463	eng	1.0
1171	en-us	1.0
712	eng	1.0
357	en-us	1.0
116	eng	1.0
1005	en-us	1.0
317	en-us	1.0
604	eng	1.0
347	eng	1.0
353	eng	1.0
387	eng	1.0
934	eng	1.0
714	eng	1.0
855	eng	1.0
715	eng	1.0
456	eng	1.0
136	en-us	1.0
1095	eng	1.0
868	eng	1.0
178	en-us	1.0
372	eng	1.0
361	eng	1.0
815	eng	1.0
461	eng	1.0
593	en-us	1.0
107	en-us	1.0
44	eng	1.0
616	eng	1.0
331	en-us	1.0
1381	en-us	1.0
1117	eng	1.0
1083	eng	1.0
248	eng	1.0
233	eng	1.0
160	eng	1.0
675	eng	1.0
1123	eng	1.0
944	eng	1.0
488	eng	1.0
739	eng	1.0
232	en-us	1.0
911	eng	1.0
1288	eng	1.0
818	fre	1.0
806	eng	1.0
578	fre	1.0
1053	eng	1.0
967	eng	1.0
725	eng	1.0
953	en-us	1.0
612	eng	1.0
865	en-gb	1.0
936	eng	1.0
703	en-us	1.0
1075	fre	1.0
1360	en-us	1.0
1208	en-gb	1.0
705	en-gb	1.0
46	eng	1.0
611	eng	1.0
1176	en-us	1.0
768	eng	1.0
650	eng	1.0
730	eng	1.0
1161	eng	1.0
505	eng	1.0
786	en-us	1.0
569	eng	1.0
1351	en-us	1.0
1260	eng	1.0
83	eng	1.0
660	eng	1.0
575	en-us	1.0
1296	eng	1.0
332	eng	1.0
602	eng	1.0
542	eng	1.0
292	eng	1.0
25	eng	1.0
27	eng	1.0
24	eng	1.0
18	eng	1.0
21	eng	1.0
23	eng	1.0
2	eng	1.0
1218	eng	1.0
453	en-us	1.0
310	en-us	1.0
530	eng	1.0
156	eng	1.0
455	en-us	1.0
647	en-us	1.0
864	eng	1.0
1026	eng	1.0
411	eng	1.0
228	eng	1.0
78	eng	1.0
207	en-us	1.0
1067	en-us	1.0
912	eng	1.0
996	en-us	1.0
1232	en-us	1.0
1267	eng	1.0
1226	en-us	1.0
1151	eng	1.0
1390	en-us	1.0
1365	eng	1.0
381	en-us	1.0
625	en-us	1.0
727	eng	1.0
148	eng	1.0
118	eng	1.0
694	en-us	1.0
851	eng	1.0
268	eng	1.0
570	eng	1.0
5	eng	1.0
80	eng	1.0
559	eng	1.0
180	eng	1.0
1094	eng	1.0
177	eng	1.0
265	eng	1.0
13	eng	1.0
916	eng	1.0
472	eng	1.0
899	eng	1.0
829	eng	1.0
272	en-us	1.0
883	eng	1.0
189	eng	1.0
125	eng	1.0
860	eng	1.0
888	eng	1.0
1287	eng	1.0
641	eng	1.0
1061	en-us	1.0
388	en-us	1.0
36	eng	1.0
622	eng	1.0
508	eng	1.0
174	eng	1.0
231	eng	1.0
81	eng	1.0
256	en-us	1.0
47	eng	1.0
199	eng	1.0
1175	en-us	1.0
263	eng	1.0
241	eng	1.0
457	eng	1.0
523	en-us	1.0
687	eng	1.0
82	eng	1.0
383	en-ca	1.0
236	en-us	1.0
213	eng	1.0
1329	eng	1.0
308	en-us	1.0
560	eng	1.0
1393	eng	1.0
97	eng	1.0
961	eng	1.0
1035	eng	1.0
701	en-us	1.0
1041	eng	1.0
162	eng	1.0
718	eng	1.0
1224	en-us	1.0
304	eng	1.0
229	eng	1.0
222	eng	1.0
448	en-us	1.0
1319	eng	1.0
478	eng	1.0
1113	eng	1.0
538	eng	1.0
590	eng	1.0
479	eng	1.0
1316	eng	1.0
56	en-us	1.0
1149	en-us	1.0
399	en-us	1.0
927	eng	1.0
273	eng	1.0
1238	eng	1.0
197	en-us	1.0
527	eng	1.0
563	en-gb	1.0
558	eng	1.0
631	eng	1.0
652	en-us	1.0
624	eng	1.0
724	eng	1.0
707	eng	1.0
255	eng	1.0
417	eng	1.0
903	eng	1.0
959	eng	1.0
780	en-us	1.0
879	eng	1.0
681	eng	1.0
595	en-us	1.0
416	en-us	1.0
123	eng	1.0
1255	eng	1.0
626	en-us	1.0
108	eng	1.0
955	en-us	1.0
1063	eng	1.0
509	eng	1.0
834	eng	1.0
467	eng	1.0
867	eng	1.0
473	eng	1.0
1310	eng	1.0
1239	eng	1.0
943	eng	1.0
534	en-us	1.0
662	eng	1.0
92	en-us	1.0
848	en-us	1.0
111	eng	1.0
266	eng	1.0
242	eng	1.0
217	eng	1.0
364	eng	1.0
270	en-us	1.0
577	eng	1.0
323	eng	1.0
733	eng	1.0
471	eng	1.0
451	eng	1.0
778	eng	1.0
375	eng	1.0
937	eng	1.0
663	eng	1.0
922	eng	1.0
1039	eng	1.0
485	eng	1.0
592	eng	1.0
925	eng	1.0
172	eng	1.0
516	eng	1.0
515	eng	1.0
782	eng	1.0
770	eng	1.0
576	eng	1.0
773	en-us	1.0
997	eng	1.0
518	en-us	1.0
181	eng	1.0
497	eng	1.0
826	eng	1.0
1084	eng	1.0
639	eng	1.0
1184	en-us	1.0
545	eng	1.0
1015	eng	1.0
424	en-us	1.0
391	eng	1.0
820	eng	1.0
1373	eng	1.0
679	en-gb	1.0
496	eng	1.0
194	eng	1.0
1073	eng	1.0
1178	eng	1.0
512	en-us	1.0
514	eng	1.0
468	eng	1.0
1186	eng	1.0
1135	eng	1.0
824	eng	1.0
614	eng	1.0
1364	eng	1.0
358	en-us	1.0
872	en-us	1.0
1108	eng	1.0
1348	eng	1.0
489	eng	1.0
672	eng	1.0
444	eng	1.0
446	eng	1.0
400	eng	1.0
606	en-us	1.0
360	eng	1.0
546	eng	1.0
1160	eng	1.0
994	eng	1.0
1322	eng	1.0
877	eng	1.0
765	eng	1.0
895	eng	1.0
1272	en-us	1.0
1144	en-us	1.0
1378	eng	1.0
1145	eng	1.0
1031	eng	1.0
198	eng	1.0
261	eng	1.0
941	en-us	1.0
1088	eng	1.0
1235	eng	1.0
430	en-us	1.0
948	eng	1.0
901	eng	1.0
885	eng	1.0
1317	eng	1.0
300	eng	1.0
661	en-ca	1.0
1158	eng	1.0
397	eng	1.0
982	eng	1.0
840	eng	1.0
1087	en-us	1.0
274	eng	1.0
1311	eng	1.0
443	en-us	1.0
519	eng	1.0
73	en-us	1.0
187	eng	1.0
615	eng	1.0
781	eng	1.0
541	en-us	1.0
367	eng	1.0
336	en-us	1.0
1379	eng	1.0
674	eng	1.0
1265	eng	1.0
293	eng	1.0
597	eng	1.0
420	en-us	1.0
784	en-us	1.0
500	eng	1.0
690	en-us	1.0
329	eng	1.0
486	eng	1.0
1020	en-us	1.0
608	en-gb	1.0
454	en-us	1.0
579	eng	1.0
549	en-us	1.0
728	eng	1.0
627	en-gb	1.0
873	eng	1.0
1033	eng	1.0
1225	eng	1.0
1163	en-us	1.0
1289	eng	1.0
1233	eng	1.0
284	eng	1.0
427	eng	1.0
1217	eng	1.0
436	eng	1.0
653	en-us	1.0
513	en-us	1.0
311	eng	1.0
587	eng	1.0
408	eng	1.0
817	eng	1.0
769	eng	1.0
731	en-us	1.0
195	eng	1.0
594	eng	1.0
767	en-us	1.0
700	en-us	1.0
1079	en-us	1.0
832	en-us	1.0
1032	eng	1.0
31	eng	1.0
447	eng	1.0
312	en-us	1.0
1052	eng	1.0
16	eng	1.0
709	eng	1.0
258	eng	1.0
520	eng	1.0
407	eng	1.0
550	eng	1.0
1205	eng	1.0
1282	eng	1.0
908	eng	1.0
1101	en-us	1.0
572	eng	1.0
484	eng	1.0
777	en-us	1.0
193	en-us	1.0
366	eng	1.0
498	eng	1.0
1011	eng	1.0
247	en-us	1.0
658	eng	1.0
779	eng	1.0
483	en-us	1.0
935	eng	1.0
734	en-us	1.0
902	eng	1.0
757	en-us	1.0
362	eng	1.0
557	eng	1.0
1214	eng	1.0
1055	eng	1.0
298	eng	1.0
839	eng	1.0
664	eng	1.0
763	eng	1.0
1253	en-us	1.0
809	eng	1.0
1266	eng	1.0
1327	eng	1.0
402	en-gb	1.0
98	eng	1.0
974	eng	1.0
494	eng	1.0
86	eng	1.0
635	eng	1.0
896	eng	1.0
708	eng	1.0
422	eng	1.0
1121	eng	1.0
1090	eng	1.0
1312	eng	1.0
1250	en-us	1.0
748	eng	1.0
1231	en-us	1.0
227	eng	1.0
651	eng	1.0
1223	eng	1.0
432	eng	1.0
930	eng	1.0
249	en-us	1.0
584	eng	1.0
764	eng	1.0
17	eng	1.0
998	eng	1.0
1380	en-gb	1.0
380	eng	1.0
1384	eng	1.0
182	eng	1.0
762	eng	1.0
1064	eng	1.0
1038	eng	1.0
1237	eng	1.0
723	eng	1.0
169	en-gb	1.0
41	eng	1.0
1216	en-us	1.0
396	eng	1.0
1100	en-us	1.0
1	eng	1.0
127	eng	1.0
314	en-us	1.0
175	eng	1.0
1391	eng	1.0
214	eng	1.0
1290	eng	1.0
377	eng	1.0
964	eng	1.0
151	eng	1.0
1155	en-us	1.0
618	eng	1.0
1258	eng	1.0
469	eng	1.0
1298	en-us	1.0
918	eng	1.0
1137	eng	1.0
1199	eng	1.0
1172	eng	1.0
1131	eng	1.0
281	eng	1.0
601	eng	1.0
51	eng	1.0
246	en-us	1.0
153	eng	1.0
134	en-us	1.0
449	en-us	1.0
643	en-us	1.0
491	en-us	1.0
783	eng	1.0
981	en-us	1.0
814	eng	1.0
159	eng	1.0
568	eng	1.0
216	eng	1.0
1120	eng	1.0
1211	en-us	1.0
863	en-us	1.0
853	eng	1.0
441	eng	1.0
1003	eng	1.0
343	eng	1.0
833	eng	1.0
1037	eng	1.0
1388	eng	1.0
596	eng	1.0
1301	eng	1.0
975	en-gb	1.0
923	eng	1.0
1048	en-us	1.0
866	eng	1.0
706	eng	1.0
699	eng	1.0
972	eng	1.0
526	eng	1.0
1247	eng	1.0
450	en-us	1.0
891	eng	1.0
1034	eng	1.0
1127	eng	1.0
1228	eng	1.0
1340	eng	1.0
1304	eng	1.0
1363	eng	1.0
808	eng	1.0
1060	en-us	1.0
719	eng	1.0
442	eng	1.0
1111	eng	1.0
254	eng	1.0
208	eng	1.0
221	eng	1.0
761	eng	1.0
547	eng	1.0
758	eng	1.0
211	en-us	1.0
574	eng	1.0
1091	nl	1.0
1339	en-us	1.0
800	eng	1.0
933	en-us	1.0
969	en-us	1.0
493	eng	1.0
628	eng	1.0
785	eng	1.0
871	en-us	1.0
657	eng	1.0
414	en-us	1.0
1021	en-us	1.0
315	eng	1.0
403	eng	1.0
201	eng	1.0
291	eng	1.0
140	en-us	1.0
1068	en-us	1.0
1051	eng	1.0
1159	en-gb	1.0
1300	en-us	1.0
1275	eng	1.0
20	eng	1.0
355	en-ca	1.0
804	en-us	1.0
1204	eng	1.0
511	eng	1.0
665	eng	1.0
729	eng	1.0
881	en-us	1.0
1392	en-us	1.0
1154	en-us	1.0
1280	eng	1.0
869	eng	1.0
654	en-us	1.0
598	eng	1.0
389	eng	1.0
875	en-us	1.0
202	en-us	1.0
394	en-us	1.0
384	eng	1.0
152	en-us	1.0
1136	en-us	1.0
754	eng	1.0
333	eng	1.0
1150	eng	1.0
1099	eng	1.0
260	eng	1.0
846	eng	1.0
412	en-us	1.0
1106	en-us	1.0
1314	eng	1.0
440	eng	1.0
1181	eng	1.0
823	en-us	1.0
1269	eng	1.0
791	en-us	1.0
1050	eng	1.0
801	eng	1.0
224	en-us	1.0
338	eng	1.0
906	eng	1.0
144	eng	1.0
91	eng	1.0
269	en-us	1.0
1007	en-gb	1.0
692	en-us	1.0
183	eng	1.0
571	en-us	1.0
552	en-us	1.0
645	eng	1.0
507	eng	1.0
726	en-us	1.0
340	en-us	1.0
847	en-us	1.0
638	eng	1.0
124	eng	1.0
303	eng	1.0
680	eng	1.0
613	en-gb	1.0
1303	en-us	1.0
1234	en-us	1.0
744	eng	1.0
573	en-us	1.0
106	eng	1.0
1128	eng	1.0
1070	eng	1.0
1018	eng	1.0
1286	eng	1.0
1049	eng	1.0
286	en-us	1.0
439	eng	1.0
1318	en-us	1.0
788	fre	1.0
1024	eng	1.0
1361	eng	1.0
697	eng	1.0
188	eng	1.0
1207	eng	1.0
588	en-us	1.0
1138	eng	1.0
477	eng	1.0
1016	en-gb	1.0
1358	eng	1.0
521	eng	1.0
139	en-us	1.0
659	eng	1.0
1309	en-gb	1.0
185	eng	1.0
12	eng	1.0
379	eng	1.0
802	en-us	1.0
710	eng	1.0
309	en-us	1.0
351	eng	1.0
1132	eng	1.0
1259	en-us	1.0
909	eng	1.0
434	en-us	1.0
685	eng	1.0
147	eng	1.0
88	en-us	1.0
1244	eng	1.0
415	en-us	1.0
1382	en-gb	1.0
192	eng	1.0
1273	en-us	1.0
775	en-us	1.0
406	en-us	1.0
1325	eng	1.0
900	eng	1.0
1256	en-gb	1.0
914	eng	1.0
280	eng	1.0
1302	eng	1.0
475	en-us	1.0
166	eng	1.0
1279	eng	1.0
435	eng	1.0
382	eng	1.0
849	eng	1.0
1066	en-us	1.0
844	eng	1.0
876	en-ca	1.0
968	eng	1.0
1369	eng	1.0
882	en-us	1.0
1059	eng	1.0
1193	en-us	1.0
543	eng	1.0
419	en-us	1.0
686	en-us	1.0
683	eng	1.0
716	en-us	1.0
1215	eng	1.0
952	eng	1.0
1386	eng	1.0
825	eng	1.0
1305	en-us	1.0
797	eng	1.0
1025	en-us	1.0
163	eng	1.0
392	en-us	1.0
1323	eng	1.0
421	eng	1.0
482	en-ca	1.0
295	eng	1.0
1058	eng	1.0
648	en-us	1.0
1201	eng	1.0
294	eng	1.0
821	en-us	1.0
220	en-us	1.0
128	eng	1.0
445	en-ca	1.0
924	eng	1.0
1030	eng	1.0
1334	eng	1.0
1338	eng	1.0
1344	eng	1.0
6	eng	1.0
363	en-us	1.0
957	en-us	1.0
600	eng	1.0
149	en-us	1.0
517	eng	1.0
1004	en-us	1.0
995	eng	1.0
656	en-us	1.0
1191	eng	1.0
1354	eng	1.0
649	eng	1.0
732	eng	1.0
1189	eng	1.0
1168	eng	1.0
1206	eng	1.0
989	eng	1.0
1096	eng	1.0
1156	en-us	1.0
1008	eng	1.0
370	eng	1.0
759	en-us	1.0
1229	en-us	1.0
548	en-us	1.0
428	eng	1.0
1335	eng	1.0
562	eng	1.0
1114	eng	1.0
737	en-us	1.0
822	eng	1.0
907	eng	1.0
632	en-us	1.0
1056	eng	1.0
1148	eng	1.0
1359	eng	1.0
404	eng	1.0
466	eng	1.0
1270	eng	1.0
69	eng	1.0
290	eng	1.0
34	eng	1.0
327	eng	1.0
1313	eng	1.0
1069	en-us	1.0
619	eng	1.0
747	en-us	1.0
99	eng	1.0
96	eng	1.0
629	eng	1.0
677	eng	1.0
634	eng	1.0
1072	en-us	1.0
1115	en-us	1.0
1293	en-us	1.0
735	eng	1.0
880	en-us	1.0
805	eng	1.0
1227	eng	1.0
1093	en-us	1.0
418	eng	1.0
711	eng	1.0
1140	eng	1.0
1077	eng	1.0
1141	en-us	1.0
1188	eng	1.0
1197	eng	1.0
1164	eng	1.0
218	eng	1.0
904	eng	1.0
1036	eng	1.0
962	eng	1.0
203	eng	1.0
1292	eng	1.0
589	en-ca	1.0
644	eng	1.0
1246	eng	1.0
433	eng	1.0
1209	eng	1.0
960	eng	1.0
1200	eng	1.0
746	eng	1.0
1254	eng	1.0
30	eng	1.0
342	eng	1.0
535	eng	1.0
1297	eng	1.0
302	eng	1.0
689	eng	1.0
932	eng	1.0
1157	en-us	1.0
582	eng	1.0
1086	eng	1.0
956	en-us	1.0
1190	eng	1.0
980	eng	1.0
307	eng	1.0
313	eng	1.0
978	eng	1.0
190	eng	1.0
385	eng	1.0
771	eng	1.0
522	eng	1.0
917	eng	1.0
250	eng	1.0
1333	eng	1.0
320	eng	1.0
1047	eng	1.0
502	en-gb	1.0
112	eng	1.0
947	en-us	1.0
244	en-us	1.0
226	eng	1.0
551	eng	1.0
1374	eng	1.0
164	eng	1.0
910	eng	1.0
749	eng	1.0
698	en-us	1.0
277	eng	1.0
146	eng	1.0
452	eng	1.0
1009	eng	1.0
1006	eng	1.0
954	en-us	1.0
1109	en-us	1.0
1000	eng	1.0
928	eng	1.0
1356	eng	1.0
567	eng	1.0
837	eng	1.0
756	eng	1.0
252	eng	1.0
240	eng	1.0
684	eng	1.0
655	eng	1.0
603	eng	1.0
973	eng	1.0
253	en-us	1.0
1195	eng	1.0
816	eng	1.0
235	eng	1.0
359	eng	1.0
993	eng	1.0
794	eng	1.0
892	eng	1.0
1170	eng	1.0
630	eng	1.0
878	en-gb	1.0
105	eng	1.0
1263	eng	1.0
745	eng	1.0
1081	eng	1.0
1182	eng	1.0
1346	eng	1.0
1230	eng	1.0
1242	eng	1.0
1281	eng	1.0
1152	eng	1.0
1330	eng	1.0
1350	en-us	1.0
319	eng	1.0
673	eng	1.0
1169	eng	1.0
1092	eng	1.0
870	eng	1.0
318	eng	1.0
470	eng	1.0
991	eng	1.0
803	eng	1.0
810	eng	1.0
460	eng	1.0
607	eng	1.0
1268	en-us	1.0
884	eng	1.0
970	eng	1.0
678	eng	1.0
285	eng	1.0
1040	eng	1.0
813	eng	1.0
713	eng	1.0
581	eng	1.0
1002	eng	1.0
1045	eng	1.0
850	eng	1.0
702	en-gb	1.0
807	eng	1.0
1328	eng	1.0
